time,val
9034,94
9043,88
9053,100
9063,92
9073,73
9082,82
9092,84
9101,76
9110,87
9119,70
9128,78
9138,71
9148,72
9157,83
9166,67
9176,78
9185,63
9194,72
9203,83
9213,69
9223,80
9232,67
9241,77
9250,82
9260,75
9269,90
9279,72
9288,85
9297,83
9307,85
9316,102
9326,99
9335,82
9346,97
9355,100
9365,112
9375,118
9385,115
9396,113
9407,111
9417,111
9427,110
9438,107
9448,117
9458,128
9468,138
9480,145
9490,149
9500,145
9510,141
9521,137
9531,134
9542,131
9552,145
9563,153
9573,159
9583,166
9593,173
9604,170
9615,162
9625,158
9635,152
9646,150
9656,159
9666,165
9677,171
9688,175
9698,179
9708,178
9718,172
9729,163
9740,156
9750,150
9760,156
9771,162
9781,165
9791,169
9801,174
9812,171
9823,162
9833,152
9843,144
9853,138
9864,137
9875,144
9885,147
9895,151
9906,154
9916,148
9926,139
9937,131
9948,123
9958,118
9968,110
9978,112
9989,118
9999,122
10010,128
10021,96
10032,96
10042,102
10053,95
10063,90
10075,85
10085,81
10095,90
10105,94
10116,95
10126,89
10136,82
10147,79
10158,75
10168,73
10178,68
10188,66
10199,68
